"행정구역","2020년09월_계_총인구수","2020년09월_계_연령구간인구수","2020년09월_계_0~9세","2020년09월_계_10~19세","2020년09월_계_20~29세","2020년09월_계_30~39세","2020년09월_계_40~49세","2020년09월_계_50~59세","2020년09월_계_60~69세","2020년09월_계_70~79세","2020년09월_계_80~89세","2020년09월_계_90~99세","2020년09월_계_100세 이상","2020년09월_남_총인구수","2020년09월_남_연령구간인구수","2020년09월_남_0~9세","2020년09월_남_10~19세","2020년09월_남_20~29세","2020년09월_남_30~39세","2020년09월_남_40~49세","2020년09월_남_50~59세","2020년09월_남_60~69세","2020년09월_남_70~79세","2020년09월_남_80~89세","2020년09월_남_90~99세","2020년09월_남_100세 이상","2020년09월_여_총인구수","2020년09월_여_연령구간인구수","2020년09월_여_0~9세","2020년09월_여_10~19세","2020년09월_여_20~29세","2020년09월_여_30~39세","2020년09월_여_40~49세","2020년09월_여_50~59세","2020년09월_여_60~69세","2020년09월_여_70~79세","2020년09월_여_80~89세","2020년09월_여_90~99세","2020년09월_여_100세 이상"
"서울특별시 성북구 (1129000000)","439,719","439,719","29,428","37,769","67,151","60,552","70,532","69,637","54,528","33,681","14,032","2,029","380","212,151","212,151","15,026","19,171","32,422","30,125","34,731","34,285","25,644","14,727","5,408","516","96","227,568","227,568","14,402","18,598","34,729","30,427","35,801","35,352","28,884","18,954","8,624","1,513","284"
"서울특별시 성북구 성북동(1129052500)","16,976","16,976","803","1,241","2,785","2,523","2,591","2,769","2,063","1,372","677","138","14","7,924","7,924","376","663","1,278","1,190","1,246","1,301","963","588","275","37","7","9,052","9,052","427","578","1,507","1,333","1,345","1,468","1,100","784","402","101","7"
"서울특별시 성북구 삼선동(1129055500)","23,786","23,786","1,183","1,977","4,287","3,370","3,761","3,690","2,724","1,847","808","105","34","11,329","11,329","613","1,021","1,926","1,661","1,834","1,863","1,288","781","306","28","8","12,457","12,457","570","956","2,361","1,709","1,927","1,827","1,436","1,066","502","77","26"
"서울특별시 성북구 동선동(1129057500)","15,624","15,624","572","972","4,496","2,528","2,042","1,927","1,451","1,096","451","71","18","6,580","6,580","278","430","1,458","1,176","978","948","645","467","173","21","6","9,044","9,044","294","542","3,038","1,352","1,064","979","806","629","278","50","12"
"서울특별시 성북구 돈암제1동(1129058000)","15,367","15,367","850","1,369","2,094","1,990","2,229","2,755","2,159","1,283","552","73","13","7,173","7,173","403","657","970","988","1,047","1,314","999","563","202","25","5","8,194","8,194","447","712","1,124","1,002","1,182","1,441","1,160","720","350","48","8"
"서울특별시 성북구 돈암제2동(1129059000)","24,645","24,645","2,088","2,850","3,019","3,072","4,595","4,043","2,696","1,464","685","122","11","11,741","11,741","1,073","1,427","1,500","1,427","2,173","1,940","1,270","631","266","31","3","12,904","12,904","1,015","1,423","1,519","1,645","2,422","2,103","1,426","833","419","91","8"
"서울특별시 성북구 안암동(1129060000)","15,304","15,304","460","891","5,081","2,064","1,709","2,072","1,492","1,017","446","58","14","7,747","7,747","234","465","2,680","1,148","878","1,026","703","429","168","12","4","7,557","7,557","226","426","2,401","916","831","1,046","789","588","278","46","10"
"서울특별시 성북구 보문동(1129061000)","16,023","16,023","1,011","993","2,780","2,686","2,459","2,588","1,882","1,093","447","68","16","7,743","7,743","509","492","1,359","1,367","1,243","1,233","888","469","169","9","5","8,280","8,280","502","501","1,421","1,319","1,216","1,355","994","624","278","59","11"
"서울특별시 성북구 정릉제1동(1129062000)","18,836","18,836","1,454","1,842","2,327","2,718","3,312","2,848","2,224","1,413","608","76","14","9,084","9,084","769","906","1,164","1,325","1,612","1,411","1,032","604","236","23","2","9,752","9,752","685","936","1,163","1,393","1,700","1,437","1,192","809","372","53","12"
"서울특별시 성북구 정릉제2동(1129063000)","23,516","23,516","1,526","1,911","3,249","3,135","3,665","3,783","3,315","2,006","796","112","18","11,396","11,396","773","992","1,642","1,605","1,800","1,823","1,529","882","319","29","2","12,120","12,120","753","919","1,607","1,530","1,865","1,960","1,786","1,124","477","83","16"
