ID,상가업소번,상호명,지점명,상권업종대,상권업종중,상권업종소,표준산업분,시도코드,시도명,시군구명,행정동명,지번주소,경도,위도
333708,21842735,강풍돼지갈비,,음식,한식,갈비/삼겹살,한식 음식점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동2가 13,127.0182554,37.59067156
469586,15996142,일흥콩나물해장국,,음식,한식,해장국/감자탕,한식 음식점업,11,서울특별시,성북구,삼선동,서울특별시 성북구 삼선동5가 394,127.0183272,37.58865383
52671,19991026,커피로드,,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,11,서울특별시,성북구,삼선동,서울특별시 성북구 삼선동5가 366,127.0171758,37.58924795
259459,20629544,서도바지락칼국수,,음식,분식,국수/만두/칼국수,분식 및 김밥 전문점,11,서울특별시,성북구,삼선동,서울특별시 성북구 동소문동5가 100,127.0163215,37.59134926
200493,19997431,천촌,,음식,한식,한식/백반/한정식,한식 음식점업,11,서울특별시,성북구,삼선동,서울특별시 성북구 동소문동5가 81,127.0163037,37.59184469
397595,12319229,두꺼비식당,,음식,한식,한식/백반/한정식,한식 음식점업,11,서울특별시,성북구,삼선동,서울특별시 성북구 동소문동5가 59-1,127.0156946,37.5916594
104844,19996851,주경야돈,,음식,한식,한식/백반/한정식,한식 음식점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동1가 65,127.0176401,37.59096379
12512,20335196,KFC돈암동1매장,,음식,패스트푸드,패스트푸드,그외 기타 음식점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동1가 3-1,127.0176248,37.592126
375689,12314955,낙원떡집,,음식,제과제빵떡케익,떡전문,제과점업,11,서울특별시,성북구,삼선동,서울특별시 성북구 동소문동5가 59-1,127.0156946,37.5916594
1664,19994605,서울떡방,,음식,제과제빵떡케익,떡전문,제과점업,11,서울특별시,성북구,삼선동,서울특별시 성북구 동소문동5가 59-8,127.0158303,37.59167855
398383,12313945,두메산골,,음식,한식,한식/백반/한정식,한식 음식점업,11,서울특별시,성북구,삼선동,서울특별시 성북구 동소문동5가 59-1,127.0156946,37.5916594
300538,20603970,태극당,,음식,제과제빵떡케익,제과점,제과점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동1가 118-1,127.0183769,37.59349283
299124,19997444,강풍갈비,,음식,한식,갈비/삼겹살,한식 음식점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동2가 13,127.0182554,37.59067156
67895,20603226,무교동낙지,,음식,일식/수산물,낙지/오징어,한식 음식점업,11,서울특별시,성북구,삼선동,서울특별시 성북구 삼선동4가 364,127.0159508,37.59026493
343108,11795125,동해회수산,,음식,일식/수산물,횟집,한식 음식점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동1가 4-14,127.0168992,37.59133606
152094,26499688,할매닭갈비,,음식,한식,한식/백반/한정식,한식 음식점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동1가 7,127.0170736,37.5909861
332411,19993799,만선참치,,음식,일식/수산물,참치전문점,일식 음식점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동1가 4-10,127.0171918,37.59147365
38856,19991836,전통평양만두,,음식,분식,국수/만두/칼국수,분식 및 김밥 전문점,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동2가 30-2,127.0182195,37.58995944
120057,20666547,남원옛추어탕,,음식,한식,추어탕전문,한식 음식점업,11,서울특별시,성북구,삼선동,서울특별시 성북구 동소문동5가 59-5,127.0158683,37.59137252
165598,26149832,명동칼국수,,음식,분식,라면김밥분식,분식 및 김밥 전문점,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동1가 85-79,127.0179851,37.59228218
99793,19916305,돈암김밥,,음식,분식,라면김밥분식,분식 및 김밥 전문점,11,서울특별시,성북구,삼선동,서울특별시 성북구 동소문동5가 63-3,127.0158396,37.59183181
243075,26177236,방이샤브샤브칼국수,,음식,별식/퓨전요리,샤브샤브전문,한식 음식점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동1가 123,127.019155,37.59373357
397254,12310187,이레김밥,,음식,분식,라면김밥분식,분식 및 김밥 전문점,11,서울특별시,성북구,삼선동,서울특별시 성북구 동소문동5가 59-1,127.0156946,37.5916594
67353,19991859,돈암해물칼국수,,음식,분식,국수/만두/칼국수,분식 및 김밥 전문점,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동2가 45,127.0189152,37.58957778
262060,19993373,비타스,,음식,양식,정통양식/경양식,서양식 음식점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동1가 41,127.0171164,37.59117568
187314,20334856,한우양곱창구이,,음식,한식,곱창/양구이전문,한식 음식점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동1가 3-7,127.017107,37.59189643
396612,12312489,소문난순대국,,음식,별식/퓨전요리,순대전문점,한식 음식점업,11,서울특별시,성북구,삼선동,서울특별시 성북구 동소문동5가 59-1,127.0156946,37.5916594
52445,20000618,깡통참숯불돼지갈비,,음식,한식,갈비/삼겹살,한식 음식점업,11,서울특별시,성북구,동선동,서울특별시 성북구 동선동2가 64,127.0190941,37.58975047
