기간	행정구역	직업유형	합계	남자	여자
2015	합계	소계	4,704,568	2,676,084	2,028,484
2015	합계	관리자	124,924	99,201	25,723
2015	합계	전문가 및 관련종사자	1,288,705	685,551	603,154
2015	합계	사무종사자	979,576	498,566	481,010
2015	합계	서비스종사자	503,786	206,182	297,604
2015	합계	판매종사자	661,439	359,632	301,807
2015	합계	농림어업 숙련 종사자	6,284	4,457	1,827
2015	합계	기능원 및 관련기능종사자	394,439	300,210	94,229
2015	합계	장치기계조작 및 조립종사자	283,597	248,533	35,064
2015	합계	단순노무종사자	452,881	265,282	187,599
2015	합계	기타	8,937	8,470	467
2015	종로구	소계	72,265	39,675	32,590
2015	종로구	관리자	1,687	1,323	364
2015	종로구	전문가 및 관련종사자	18,433	9,277	9,156
2015	종로구	사무종사자	14,768	7,645	7,123
2015	종로구	서비스종사자	8,377	3,681	4,696
2015	종로구	판매종사자	11,196	6,052	5,144
2015	종로구	농림어업 숙련 종사자	98	79	19
2015	종로구	기능원 및 관련기능종사자	7,882	5,037	2,845
2015	종로구	장치기계조작 및 조립종사자	2,536	2,206	330
2015	종로구	단순노무종사자	6,978	4,066	2,912
2015	종로구	기타	310	309	1
2015	중구	소계	59,861	33,744	26,117
2015	중구	관리자	1,163	866	297
2015	중구	전문가 및 관련종사자	13,541	7,128	6,413
2015	중구	사무종사자	10,866	5,678	5,188
2015	중구	서비스종사자	6,639	2,968	3,671
2015	중구	판매종사자	11,824	6,535	5,289
2015	중구	농림어업 숙련 종사자	38	18	20
2015	중구	기능원 및 관련기능종사자	6,206	4,077	2,129
2015	중구	장치기계조작 및 조립종사자	3,424	2,900	524
2015	중구	단순노무종사자	6,114	3,536	2,578
2015	중구	기타	46	38	8
2015	용산구	소계	106,678	59,924	46,754
2015	용산구	관리자	4,409	3,317	1,092
2015	용산구	전문가 및 관련종사자	30,210	16,387	13,823
2015	용산구	사무종사자	20,575	10,502	10,073
2015	용산구	서비스종사자	13,220	5,514	7,706
2015	용산구	판매종사자	14,619	8,068	6,551
2015	용산구	농림어업 숙련 종사자	71	50	21
2015	용산구	기능원 및 관련기능종사자	7,811	5,567	2,244
2015	용산구	장치기계조작 및 조립종사자	4,693	3,981	712
2015	용산구	단순노무종사자	10,382	5,896	4,486
2015	용산구	기타	688	642	46
2015	성동구	소계	144,719	82,253	62,466
2015	성동구	관리자	5,663	4,192	1,471
2015	성동구	전문가 및 관련종사자	38,187	20,772	17,415
2015	성동구	사무종사자	27,762	13,865	13,897
2015	성동구	서비스종사자	15,016	6,173	8,843
2015	성동구	판매종사자	19,473	10,511	8,962
2015	성동구	농림어업 숙련 종사자	118	81	37
2015	성동구	기능원 및 관련기능종사자	14,451	10,172	4,279
2015	성동구	장치기계조작 및 조립종사자	9,301	7,786	1,515
2015	성동구	단순노무종사자	14,714	8,672	6,042
2015	성동구	기타	34	29	5
2015	광진구	소계	181,481	100,712	80,769
2015	광진구	관리자	4,807	3,851	956
2015	광진구	전문가 및 관련종사자	49,051	25,477	23,574
2015	광진구	사무종사자	34,033	15,680	18,353
2015	광진구	서비스종사자	21,340	8,897	12,443
2015	광진구	판매종사자	25,678	13,756	11,922
2015	광진구	농림어업 숙련 종사자	223	152	71
2015	광진구	기능원 및 관련기능종사자	16,830	12,249	4,581
2015	광진구	장치기계조작 및 조립종사자	10,557	9,042	1,515
2015	광진구	단순노무종사자	18,887	11,533	7,354
2015	광진구	기타	75	75	-
2015	동대문구	소계	167,533	95,613	71,920
2015	동대문구	관리자	2,766	2,270	496
2015	동대문구	전문가 및 관련종사자	38,144	19,833	18,311
2015	동대문구	사무종사자	32,836	16,603	16,233
2015	동대문구	서비스종사자	18,867	7,572	11,295
2015	동대문구	판매종사자	29,106	16,588	12,518
2015	동대문구	농림어업 숙련 종사자	164	105	59
2015	동대문구	기능원 및 관련기능종사자	17,932	12,979	4,953
2015	동대문구	장치기계조작 및 조립종사자	9,923	8,608	1,315
2015	동대문구	단순노무종사자	17,706	10,974	6,732
2015	동대문구	기타	89	81	8
2015	중랑구	소계	201,743	116,003	85,740
2015	중랑구	관리자	3,080	2,464	616
2015	중랑구	전문가 및 관련종사자	40,892	20,623	20,269
2015	중랑구	사무종사자	32,250	15,310	16,940
2015	중랑구	서비스종사자	22,351	8,950	13,401
2015	중랑구	판매종사자	31,084	16,740	14,344
2015	중랑구	농림어업 숙련 종사자	303	228	75
2015	중랑구	기능원 및 관련기능종사자	29,460	21,087	8,373
2015	중랑구	장치기계조작 및 조립종사자	16,418	14,612	1,806
2015	중랑구	단순노무종사자	25,765	15,856	9,909
2015	중랑구	기타	140	133	7
2015	성북구	소계	210,715	119,363	91,352
2015	성북구	관리자	6,558	5,158	1,400
2015	성북구	전문가 및 관련종사자	51,547	26,436	25,111
2015	성북구	사무종사자	41,542	20,868	20,674
2015	성북구	서비스종사자	22,005	9,672	12,333
2015	성북구	판매종사자	32,935	18,249	14,686
2015	성북구	농림어업 숙련 종사자	244	187	57
2015	성북구	기능원 및 관련기능종사자	22,711	15,515	7,196
2015	성북구	장치기계조작 및 조립종사자	12,261	10,918	1,343
2015	성북구	단순노무종사자	20,644	12,112	8,532
2015	성북구	기타	268	248	20
2015	강북구	소계	151,430	85,573	65,857
2015	강북구	관리자	1,920	1,417	503
2015	강북구	전문가 및 관련종사자	29,202	14,720	14,482
2015	강북구	사무종사자	25,675	12,324	13,351
2015	강북구	서비스종사자	18,490	7,558	10,932
2015	강북구	판매종사자	25,320	12,993	12,327
2015	강북구	농림어업 숙련 종사자	179	146	33
2015	강북구	기능원 및 관련기능종사자	19,685	14,321	5,364
