기간	자치구	동	한식 음식점업	용달 및 개별 화물 자동차 운송업	부동산 중개 및 대리업	의복소매업	생맥주 전문점 및 기타 주점업	두발미용업	슈퍼마켓 및 기타 음·식료품 위주 종합 소매업	김밥 및 기타 간이 음식점 및 간이음식 포장 판매업	커피 전문점 및 기타 비알콜 음료점업	가정용 세탁업	노래연습장 운영업	체인화 편의점	치킨전문점	자동차 전문 수리업	채소 과실 및 뿌리작물 소매업	육류소매업	중식음식점업	당구장 운영업	제과점업	컴퓨터 게임방 운영업
2018	합계	합계	46,970	37,228	23,226	22,046	16,135	18,005	8,378	10,029	17,891	6,245	6,609	8,560	5,067	3,660	3,285	3,611	4,534	2,623	4,171	1,907
2018	종로구	소계	2,344	640	544	682	671	257	379	436	1,168	122	127	281	131	36	69	59	189	100	155	46
2018	종로구	사직동	329	13	55	43	89	25	32	40	158	12	12	26	12	4	5	2	27	10	16	1
2018	종로구	삼청동	56	7	9	51	4	-	9	18	76	1	-	5	1	-	-	-	2	-	9	-
2018	종로구	부암동	31	14	18	13	9	8	8	9	32	10	1	12	1	6	-	-	5	1	5	1
2018	종로구	평창동	47	18	31	15	21	19	11	12	19	8	2	10	3	4	2	7	5	3	5	2
2018	종로구	무악동	9	376	9	1	-	8	5	3	5	4	1	3	4	2	2	1	1	-	3	1
2018	종로구	교남동	22	15	24	8	2	10	8	9	15	9	1	12	4	1	2	-	4	1	5	1
2018	종로구	가회동	75	9	16	29	10	8	10	20	57	3	4	7	4	1	3	2	2	2	13	-
2018	종로구	종로1.2.3.4가동	896	12	113	254	302	38	120	119	400	18	47	88	29	8	22	6	63	39	34	9
2018	종로구	종로5·6가동	268	14	73	91	37	16	49	55	86	5	10	21	14	2	5	8	13	12	7	1
2018	종로구	이화동	98	16	14	20	32	7	14	23	88	4	3	16	5	3	-	2	10	3	15	2
2018	종로구	창신1동	99	9	34	56	19	13	25	19	18	4	8	8	10	-	3	6	15	7	4	7
2018	종로구	창신2동	62	29	14	11	12	18	20	12	9	7	5	2	3	-	5	5	5	3	3	2
2018	종로구	창신3동	12	23	15	-	-	11	4	3	6	4	-	3	3	1	3	3	1	-	2	-
2018	종로구	숭인1동	19	20	15	4	5	12	9	4	4	4	-	6	3	1	1	-	1	1	1	1
2018	종로구	숭인2동	91	27	29	23	27	19	21	21	23	8	15	22	9	-	5	5	8	8	5	5
2018	종로구	청운효자동	66	15	28	29	13	13	18	21	63	5	1	10	3	1	8	7	6	-	18	1
2018	종로구	혜화동	164	23	47	34	89	32	16	48	109	16	17	30	23	2	3	5	21	10	10	12
2018	중구	소계	2,328	372	577	2,825	458	326	509	430	960	93	136	356	128	31	85	69	198	104	156	30
2018	중구	소공동	270	5	19	384	27	19	30	33	147	3	4	39	8	-	2	-	28	8	27	1
2018	중구	회현동	232	3	19	839	23	19	93	51	122	9	11	38	9	2	7	4	26	6	23	1
2018	중구	명동	439	2	87	226	70	57	68	94	260	6	10	71	16	-	3	1	51	14	31	2
2018	중구	필동	162	6	30	4	56	14	18	27	75	4	18	27	6	2	1	1	13	7	8	7
2018	중구	장충동	65	8	10	9	10	7	5	7	21	3	2	14	5	-	1	1	5	3	8	1
2018	중구	광희동	281	22	61	1,090	48	13	64	56	93	6	10	40	11	4	20	8	19	12	16	1
2018	중구	을지로동	240	8	52	72	62	8	56	30	83	4	10	27	7	1	2	-	17	19	3	-
2018	중구	신당5동	99	36	29	28	37	24	11	12	12	6	9	7	10	3	4	5	4	3	3	5
2018	중구	황학동	148	33	34	36	19	23	30	24	12	5	7	14	7	2	22	19	2	5	2	-
2018	중구	중림동	86	26	26	2	23	20	16	13	33	6	6	11	8	2	6	5	5	4	7	1
2018	중구	신당동	109	20	98	56	26	26	67	45	43	7	19	26	13	4	4	2	18	7	9	1
2018	중구	다산동	78	69	23	23	26	18	21	17	22	11	17	15	8	7	3	4	4	5	6	1
2018	중구	약수동	49	42	38	25	10	34	12	11	12	11	6	11	8	3	3	8	-	3	7	4
2018	중구	청구동	25	54	23	15	13	19	9	4	11	7	3	6	5	-	3	3	2	3	3	2
2018	중구	동화동	45	38	28	16	8	25	9	6	14	5	4	10	7	1	4	8	4	5	3	3
2018	용산구	소계	1,374	566	767	712	543	372	293	291	697	141	95	251	117	94	66	77	125	44	165	30
2018	용산구	후암동	65	61	41	18	14	24	21	14	34	9	3	14	9	5	6	9	6	2	6	2
2018	용산구	용산2가동	27	35	23	4	29	18	12	10	37	6	1	13	5	1	5	5	3	1	9	1
2018	용산구	남영동	183	9	23	98	45	16	22	35	56	4	19	35	10	6	3	1	18	12	18	7
2018	용산구	원효로2동	47	61	28	14	13	19	18	10	12	7	5	11	5	13	2	5	8	3	3	1
2018	용산구	효창동	21	29	14	4	2	7	10	4	15	4	-	6	1	2	-	-	1	-	3	-
2018	용산구	용문동	50	44	25	17	18	28	9	11	13	7	7	4	12	2	12	13	-	1	3	2
2018	용산구	이촌1동	51	9	56	61	17	31	16	21	18	9	2	10	5	1	10	11	8	1	16	2
2018	용산구	이촌2동	9	48	27	3	-	8	4	2	6	4	-	4	4	8	4	2	1	-	2	-
2018	용산구	이태원1동	96	10	29	233	145	14	12	15	56	7	5	17	7	5	-	1	13	3	12	-
2018	용산구	이태원2동	47	20	34	17	54	15	9	9	67	8	3	13	3	-	4	3	4	-	18	1
2018	용산구	서빙고동	20	28	18	15	1	11	13	5	11	2	-	6	1	5	-	1	3	-	2	-
2018	용산구	보광동	76	47	61	21	22	39	24	15	18	12	5	9	15	5	4	4	4	4	5	2
2018	용산구	청파동	109	68	64	16	44	51	30	53	62	18	10	22	13	11	7	10	7	3	15	7
2018	용산구	원효로1동	133	39	66	12	35	22	13	23	50	12	9	18	9	8	3	2	13	3	8	3
2018	용산구	한강로동	294	17	161	101	44	39	48	42	141	19	16	47	7	13	3	4	21	9	19	-
2018	용산구	한남동	146	41	97	78	60	30	32	22	101	13	10	22	11	9	3	6	15	2	26	2
2018	성동구	소계	1,531	1,232	764	399	373	487	269	291	547	194	162	256	156	208	64	127	112	85	107	50
2018	성동구	왕십리2동	38	63	38	14	9	25	12	7	9	10	3	8	10	-	5	3	3	2	2	3
2018	성동구	마장동	118	100	34	3	24	26	35	15	19	12	6	11	6	15	4	39	6	9	4	2
2018	성동구	사근동	125	37	36	8	64	23	13	37	68	11	19	27	17	-	1	4	20	13	3	13
2018	성동구	행당1동	122	53	44	93	16	37	17	26	38	13	11	15	13	2	7	14	9	5	16	2
2018	성동구	행당2동	16	58	28	20	-	26	5	12	13	11	2	6	8	1	1	4	2	-	5	-
2018	성동구	응봉동	11	51	13	5	5	13	9	6	8	9	1	2	4	4	-	1	1	1	1	1
2018	성동구	금호1가동	25	47	28	5	8	25	8	8	16	9	1	4	3	3	1	4	2	2	3	2
2018	성동구	금호4가동	48	36	36	20	23	26	6	8	11	8	9	9	7	2	3	3	3	2	5	4
2018	성동구	성수1가1동	56	60	54	12	11	24	11	10	25	9	10	18	5	7	-	1	5	3	6	1
2018	성동구	성수1가2동	151	80	56	25	20	26	11	21	82	9	13	22	10	12	3	6	8	7	8	2
2018	성동구	성수2가1동	149	84	45	47	40	34	22	33	52	18	19	20	9	27	9	4	11	7	8	3
2018	성동구	성수2가3동	225	277	85	27	27	15	30	21	79	8	25	45	11	42	2	3	17	14	9	4
2018	성동구	송정동	29	56	19	6	6	19	9	8	4	9	4	7	4	6	4	3	2	3	3	1
2018	성동구	용답동	116	56	30	26	37	29	35	20	26	10	14	15	9	76	9	7	6	6	3	4
2018	성동구	왕십리도선동	174	67	108	40	52	55	23	30	49	16	16	26	17	7	8	10	9	6	14	5
2018	성동구	금호2.3가동	92	80	50	37	24	55	15	19	25	16	6	12	17	-	6	12	4	4	5	2
2018	성동구	옥수동	36	27	60	11	7	29	8	10	23	16	3	9	6	4	1	9	4	1	12	1
2018	광진구	소계	1,661	1,215	861	587	764	752	270	375	592	262	375	329	183	103	109	135	198	104	162	93
