행정구역,2020년11월_계_총인구수,2020년11월_계_연령구간인구수,연령구간인구수/자치구 인구수,전문직 종사자 수,자치구 전문직 수/ 자치구 인구수,연령구간 순위,전문직 순위,두가지 평균 순위,,,,,,,,,,,,,,,,,,,
강북구,"308,569","112,926",0.366,"29,202 ",0.095,24,25,24.5,,,,,,,,,,,,,,,,,,,
도봉구,"326,082","117,746",0.361,"34,515 ",0.106,25,22,23.5,,,,,,,,,,,,,,,,,,,
중랑구,"395,194","153,895",0.389,"40,892 ",0.103,20,24,22.0,,,,,,,,,,,,,,,,,,,
은평구,"480,617","188,097",0.391,"54,118 ",0.113,19,19,19.0,,,,,,,,,,,,,,,,,,,
종로구,"149,549","58,101",0.389,"18,433 ",0.123,21,15,18.0,,,,,,,,,,,,,,,,,,,
금천구,"232,003","94,742",0.408,"24,555 ",0.106,13,23,18.0,,,,,,,,,,,,,,,,,,,
노원구,"523,708","197,704",0.378,"66,046 ",0.126,23,13,18.0,,,,,,,,,,,,,,,,,,,
중구,"125,505","50,961",0.406,"13,541 ",0.108,14,21,17.5,,,,,,,,,,,,,,,,,,,
성북구,"438,051","174,756",0.399,"51,547 ",0.118,18,17,17.5,,,,,,,,,,,,,,,,,,,
동대문구,"343,377","141,758",0.413,"38,144 ",0.111,11,20,15.5,,,,,,,,,,,,,,,,,,,
양천구,"455,058","172,733",0.380,"61,154 ",0.134,22,9,15.5,,,,,,,,,,,,,,,,,,,
서대문구,"312,325","127,951",0.410,"36,422 ",0.117,12,18,15.0,,,,,,,,,,,,,,,,,,,
강동구,"458,604","185,207",0.404,"56,889 ",0.124,16,14,15.0,,,,,,,,,,,,,,,,,,,
구로구,"405,194","162,802",0.402,"53,348 ",0.132,17,10,13.5,,,,,,,,,,,,,,,,,,,
강서구,"581,909","250,841",0.431,"71,563 ",0.123,6,16,11.0,,,,,,,,,,,,,,,,,,,
용산구,"230,151","95,607",0.415,"30,210 ",0.131,10,11,10.5,,,,,,,,,,,,,,,,,,,
성동구,"294,272","125,566",0.427,"38,187 ",0.130,7,12,9.5,,,,,,,,,,,,,,,,,,,
서초구,"425,431","172,306",0.405,"79,868 ",0.188,15,1,8.0,,,,,,,,,,,,,,,,,,,
송파구,"668,498","282,414",0.422,"99,409 ",0.149,8,5,6.5,,,,,,,,,,,,,,,,,,,
광진구,"347,285","155,021",0.446,"49,051 ",0.141,3,8,5.5,,,,,,,,,,,,,,,,,,,
영등포구,"378,276","166,483",0.440,"54,016 ",0.143,4,7,5.5,,,,,,,,,,,,,,,,,,,
동작구,"391,896","170,095",0.434,"56,492 ",0.144,5,6,5.5,,,,,,,,,,,,,,,,,,,
강남구,"539,838","225,452",0.418,"96,813 ",0.179,9,2,5.5,,,,,,,,,,,,,,,,,,,
마포구,"372,320","168,138",0.452,"56,881 ",0.153,2,4,3.0,,,,,,,,,,,,,,,,,,,
관악구,"496,059","243,659",0.491,"77,409 ",0.156,1,3,2.0,,,,,,,,,,,,,,,,,,,
전체,"9,679,771","3,994,961",,"1,288,705 ",,,,,,,,,,,,,,,,,,,,,,,
