기간	자치구	계	운영주체별	운영주체별	규모별	규모별	규모별
기간	자치구	계	공공공연장	민간공연장	대공연장(1000석~)	일반공연장(300~999석)	소공연장(300석미만)
2019	합계	412	95	317	19	113	280
2019	종로구	162	10	152	1	27	134
2019	중구	30	14	16	2	18	10
2019	용산구	13	7	6	2	4	7
2019	성동구	8	2	6	-	2	6
2019	광진구	12	3	9	2	8	2
2019	동대문구	3	-	3	-	-	3
2019	중랑구	1	1	-	-	1	-
2019	성북구	12	6	6	-	2	10
2019	강북구	4	3	1	-	2	2
2019	도봉구	5	4	1	-	1	4
2019	노원구	5	3	2	1	2	2
2019	은평구	2	1	1	-	1	1
2019	서대문구	11	2	9	-	4	7
2019	마포구	31	3	28	-	4	27
2019	양천구	3	2	1	-	3	-
2019	강서구	1	1	-	-	1	-
2019	구로구	7	3	4	1	4	2
2019	금천구	5	3	2	-	2	3
2019	영등포구	8	3	5	1	3	4
2019	동작구	2	-	2	-	1	1
2019	관악구	1	1	-	-	1	-
2019	서초구	29	14	15	3	11	15
2019	강남구	39	5	34	2	8	29
2019	송파구	13	1	12	4	2	7
2019	강동구	5	3	2	-	1	4
