기간	자치구	면적	면적	동	동	통	반
기간	자치구	면적	구성비(%)	행정	법정	통	반
2019	서울시	605.24	100	424	467	12,713	94,152
2019	종로구	23.91	4	17	87	278	1,479
2019	중구	9.96	1.6	15	74	253	1,580
2019	용산구	21.87	3.6	16	36	351	2,550
2019	성동구	16.86	2.8	17	17	466	3,619
2019	광진구	17.06	2.8	15	7	363	2,999
2019	동대문구	14.22	2.3	14	10	360	2,632
2019	중랑구	18.5	3.1	16	6	550	4,180
2019	성북구	24.57	4.1	20	39	468	3,725
2019	강북구	23.6	3.9	13	4	388	3,376
2019	도봉구	20.66	3.4	14	4	394	2,973
2019	노원구	35.44	5.9	19	5	709	5,863
2019	은평구	29.71	4.9	16	11	573	4,081
2019	서대문구	17.63	2.9	14	20	511	3,618
2019	마포구	23.85	3.9	16	26	418	3,313
2019	양천구	17.41	2.9	18	3	561	4,572
2019	강서구	41.44	6.8	20	13	644	5,062
2019	구로구	20.12	3.3	15	10	599	3,530
2019	금천구	13.02	2.2	10	3	383	2,887
2019	영등포구	24.55	4	18	34	582	4,916
2019	동작구	16.35	2.7	15	9	529	3,568
2019	관악구	29.57	4.9	21	3	631	5,136
2019	서초구	46.98	7.8	18	10	526	3,521
2019	강남구	39.5	6.5	22	14	836	5,550
2019	송파구	33.87	5.6	27	13	749	4,230
2019	강동구	24.59	4.1	18	9	591	5,192
